Movie_name,Release_year,Movie_rating,Director of movie,Starring
Minority Report,(2002),90%,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow"
Alphaville,(1965),91%,Jean-Luc Godard,"Eddie Constantine, Anna Karina, Akim Tamiroff, Laszlo Szabo"
Them!,(1954),97%,Gordon Douglas,"James Whitmore, Edmund Gwenn, Joan Weldon, James Arness"
Videodrome,(1983),78%,David Cronenberg,"James Woods, Sonja Smits, Deborah Harry, Peter Dvorsky"
Snowpiercer,(2014),94%,Bong Joon Ho,"Chris Evans, Song Kang Ho, Jamie Bell, John Hurt"
Invasion of the Body Snatchers,(1956),98%,Don Siegel,"Kevin McCarthy, Dana Wynter, Larry Gates, Carolyn Jones"
Predator,(1987),81%,Shane Black,"Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key"
Planet of the Apes,(1968),86%,Franklin J. Schaffner,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans"
Mad Max 2: The Road Warrior,(1982),93%,George Miller,"Mel Gibson, Bruce Spence, Vernon Wells, Emil Minty"
Star Trek,(2009),94%,J.J. Abrams,"Chris Pine, Zachary Quinto, Leonard Nimoy, Karl Urban"
Escape from New York,(1981),86%,John Carpenter,"Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence"
The War of the Worlds,(1953),88%,Byron Haskin,"Lewis  Martin, Robert Cornthwaite, Sandro Giglio, William Phipps"
Blade Runner 2049,(2017),88%,Denis Villeneuve,"Ryan Gosling, Harrison Ford, Ana de Armas, Sylvia Hoeks"
Galaxy Quest,(1999),90%,Dean Parisot,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub"
Fantastic Voyage,(1966),91%,Richard Fleischer,"Raquel Welch, Arthur O'Connell, William Redfield, Arthur Kennedy"
Solaris,(1976),95%,Andrei Tarkovsky,"Donatas Banionis, Natalya Bondarchuk, Jüri Järvet, Vladislav Dvorjetzki"
Her,(2013),94%,Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara"
The Iron Giant,(1999),96%,Brad Bird,"Eli Marienthal, Vin Diesel, Jennifer Aniston, Harry Connick Jr."
Fantastic Planet,(1973),91%,René Laloux,"Barry Bostwick, Mark Gruner, Nora Heflin, Marvin Miller"
Total Recall,(1990),82%,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox"
Moon,(2009),90%,Duncan Jones,"Sam Rockwell, Dominique McElligott, Matt Berry, Robin Chalk"
The Martian,(2015),91%,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels"
Gravity,(2013),95%,Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris, Amy Warren"
Interstellar,(2014),72%,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine"
Eternal Sunshine of the Spotless Mind,(2004),92%,Michel Gondry,"Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo"
Looper,(2012),93%,Rian Johnson,"Bruce Willis, Joseph Gordon-Levitt, Emily Blunt, Paul Dano"
Close Encounters of the Third Kind,(1977),94%,Steven Spielberg,"Richard Dreyfuss, Melinda Dillon, Teri Garr, François Truffaut"
Arrival,(2016),94%,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
Ex Machina,(2015),92%,Alex Garland,"Alicia Vikander, Oscar Isaac, Domhnall Gleeson, Sonoya Mizuno"
WALL-E,(2008),95%,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard"
E.T. The Extra-Terrestrial,(1982),98%,Steven Spielberg,"Henry Thomas, Drew Barrymore, Dee Wallace, Robert MacNaughton"
Godzilla (Gojira),(1954),93%,Ishirô Honda,"Takashi Shimura, Momoko Kochi, Akira Takarada, Akihiko Hirata"
Forbidden Planet,(1956),96%,"Fred Wilcox, Fred McLeod Wilcox","Walter Pidgeon, Anne Francis, Leslie Nielsen, Warren Stevens"
Twelve Monkeys (12 Monkeys),(1995),89%,Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer"
Jurassic Park,(1993),91%,Steven Spielberg,"Richard Attenborough, Sam Neill, Laura Dern, Jeff Goldblum"
Primer,(2004),72%,Shane Carruth,"Shane Carruth, David Sullivan, Casey Gooden, Anand Upadhyaya"
Stalker,(1979),100%,Andrei Tarkovsky,"Alexander Kaidanovsky, Nikolai Grinko, Alisa Freindlikh, Anatoli Solonitsyn"
Gattaca,(1997),82%,Andrew Niccol,"Ethan Hawke, Uma Thurman, Jude Law, Gore Vidal"
Ghost in the Shell,(1996),96%,Mamoru Oshii,"Mimi Woods, Richard George, William Frederick, Abe Lasser"
Brazil,(1985),98%,Terry Gilliam,"Jonathan Pryce, Robert De Niro, Michael Palin, Kim Greist"
Star Trek II: The Wrath of Khan,(1982),87%,Nicholas Meyer,"William Shatner, Leonard Nimoy, James Doohan, DeForest Kelley"
District 9,(2009),90%,Neill Blomkamp,"Sharlto Copley, David James, Vanessa Haywood, Mandla Gaduka"
A Clockwork Orange,(1971),86%,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Adrienne Corri, Aubrey Morris"
RoboCop,(1987),90%,Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Kurtwood Smith"
